"DAC","DAR_Total.Submitted","DAR_Approved","DAR_Disapproved","DAR_Revision.Requested","DAR_In.Process","Project_Total.Submitted","Project_Approved","Project_Disapproved","Project_Revision.Requested","Project_In.Process","PI_Total.Submitted","PI_Approved","PI_Disapproved","PI_Revision.Requested","PI_In.Process","Date"
"NCI DAC",4,4,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/01/2015"
"NHLBI",4,4,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/01/2015"
"All DACs",8,8,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/01/2015"
"NCI DAC",15,14,1,0,0,6,5,1,0,0,6,5,1,0,0,"01/02/2015"
"NHGRI",13,13,0,0,0,5,5,0,0,0,5,5,0,0,0,"01/02/2015"
"NHLBI",4,4,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/02/2015"
"NINDS",6,6,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/02/2015"
"All DACs",38,37,1,0,0,11,10,1,0,0,10,9,1,0,0,"01/02/2015"
"NCI DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/03/2015"
"NHLBI",19,14,0,5,0,1,1,0,1,0,1,1,0,1,0,"01/03/2015"
"All DACs",20,15,0,5,0,2,2,0,1,0,2,2,0,1,0,"01/03/2015"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/04/2015"
"NHLBI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/04/2015"
"NIDDK",4,4,0,0,0,2,2,0,0,0,1,1,0,0,0,"01/04/2015"
"NINDS",5,5,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/04/2015"
"All DACs",11,11,0,0,0,2,2,0,0,0,1,1,0,0,0,"01/04/2015"
"CDAC",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/05/2015"
"ES DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/05/2015"
"JAAMH",54,39,6,6,3,6,2,1,2,2,5,2,1,1,2,"01/05/2015"
"NCI DAC",41,29,3,4,5,15,13,3,2,1,14,12,3,2,1,"01/05/2015"
"NEI",1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,"01/05/2015"
"NHGRI",28,28,0,0,0,6,6,0,0,0,6,6,0,0,0,"01/05/2015"
"NHLBI",15,1,14,0,0,3,1,3,0,0,3,1,3,0,0,"01/05/2015"
"NIAMS",4,4,0,0,0,3,3,0,0,0,2,2,0,0,0,"01/05/2015"
