"DAC","DAR_Total.Submitted","DAR_Approved","DAR_Disapproved","DAR_Revision.Requested","DAR_In.Process","Project_Total.Submitted","Project_Approved","Project_Disapproved","Project_Revision.Requested","Project_In.Process","PI_Total.Submitted","PI_Approved","PI_Disapproved","PI_Revision.Requested","PI_In.Process","Date"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/01/2018"
"JAAMH",15,15,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/01/2018"
"NCI DAC",35,11,2,22,0,4,1,2,2,0,4,1,2,2,0,"01/01/2018"
"NHGRI",18,16,2,0,0,3,1,2,0,0,3,1,2,0,0,"01/01/2018"
"NHLBI",20,0,0,0,20,1,0,0,0,1,1,0,0,0,1,"01/01/2018"
"NIGMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/01/2018"
"NINDS",4,4,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/01/2018"
"All DACs",94,48,4,22,20,7,1,4,2,1,5,1,2,2,1,"01/01/2018"
"CDAC",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/02/2018"
"JAAMH",38,38,0,0,0,4,4,0,0,0,3,3,0,0,0,"01/02/2018"
"NCI DAC",41,24,12,3,2,24,16,7,3,1,24,16,7,3,1,"01/02/2018"
"NEI",4,1,0,3,0,2,1,0,1,0,2,1,0,1,0,"01/02/2018"
"NHGRI",42,36,5,0,1,15,13,3,0,1,15,13,3,0,1,"01/02/2018"
"NHLBI",84,45,4,0,35,4,2,1,0,1,4,2,1,0,1,"01/02/2018"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/02/2018"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/02/2018"
"NIDCR",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/02/2018"
"NIDDK",10,6,0,4,0,3,1,0,2,0,2,1,0,1,0,"01/02/2018"
"NIGMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/02/2018"
"NINDS",11,8,0,1,2,4,3,0,1,1,4,3,0,1,1,"01/02/2018"
"All DACs",237,165,21,11,40,37,27,11,6,4,34,25,11,5,4,"01/02/2018"
"JAAMH",35,34,0,1,0,5,4,0,1,0,5,4,0,1,0,"01/03/2018"
"NCI DAC",74,48,16,10,0,17,16,3,2,0,17,16,3,2,0,"01/03/2018"
"NEI",10,10,0,0,0,3,3,0,0,0,2,2,0,0,0,"01/03/2018"
"NHGRI",37,33,4,0,0,11,8,4,0,0,11,8,4,0,0,"01/03/2018"
"NHLBI",57,4,10,0,43,6,2,3,0,1,6,2,3,0,1,"01/03/2018"
"NIAMS",4,4,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/03/2018"
"NIDCR",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/03/2018"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/03/2018"
"NIGMS",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/03/2018"
"NINDS",16,16,0,0,0,4,4,0,0,0,3,3,0,0,0,"01/03/2018"
"All DACs",239,155,30,11,43,35,28,8,3,1,33,26,8,3,1,"01/03/2018"
"CDAC",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/04/2018"
"JAAMH",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/04/2018"
"NCI DAC",18,10,1,6,1,11,9,1,2,1,11,9,1,2,1,"01/04/2018"
"NHGRI",7,7,0,0,0,5,5,0,0,0,5,5,0,0,0,"01/04/2018"
"NHLBI",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/04/2018"
"NIDDK",1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,"01/04/2018"
"NINDS",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/04/2018"
"All DACs",35,26,1,6,2,20,17,1,2,2,19,16,1,2,2,"01/04/2018"
"CDAC",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,"01/05/2018"
"JAAMH",20,8,1,5,6,7,2,1,5,1,7,2,1,5,1,"01/05/2018"
"NCI DAC",23,22,1,0,0,12,12,1,0,0,11,11,1,0,0,"01/05/2018"
"NEI",1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,"01/05/2018"
"NHGRI",14,10,4,0,0,5,3,2,0,0,5,3,2,0,0,"01/05/2018"
"NIAMS",7,7,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/05/2018"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/05/2018"
"NINDS",3,2,0,1,0,2,1,0,1,0,2,1,0,1,0,"01/05/2018"
"All DACs",70,50,7,6,7,20,16,5,6,2,19,15,5,6,2,"01/05/2018"
"NHGRI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/06/2018"
"All DACs",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/06/2018"
"JAAMH",2,1,0,1,0,2,1,0,1,0,2,1,0,1,0,"01/07/2018"
"NCI DAC",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,"01/07/2018"
"All DACs",3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,"01/07/2018"
"JAAMH",14,5,9,0,0,7,4,3,0,0,7,4,3,0,0,"01/08/2018"
"NCI DAC",15,13,0,2,0,14,13,0,1,0,14,13,0,1,0,"01/08/2018"
"NEI",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/08/2018"
"NHGRI",9,7,2,0,0,8,6,2,0,0,8,6,2,0,0,"01/08/2018"
"NHLBI",45,3,7,0,35,5,2,2,0,1,5,2,2,0,1,"01/08/2018"
"NINDS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/08/2018"
"All DACs",86,31,18,2,35,33,25,7,1,1,33,25,7,1,1,"01/08/2018"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/09/2018"
"JAAMH",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/09/2018"
"NCI DAC",27,25,0,1,1,11,11,0,1,1,9,9,0,1,1,"01/09/2018"
"NHGRI",10,9,1,0,0,6,5,1,0,0,6,5,1,0,0,"01/09/2018"
"NHLBI",42,16,2,0,24,5,2,1,0,2,4,2,1,0,2,"01/09/2018"
"NIGMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/09/2018"
"All DACs",83,54,3,1,25,16,13,2,1,3,13,11,2,1,3,"01/09/2018"
"JAAMH",12,4,0,0,8,5,4,0,0,1,5,4,0,0,1,"01/10/2018"
"NCI DAC",22,20,2,0,0,14,13,2,0,0,13,12,2,0,0,"01/10/2018"
"NHGRI",12,8,4,0,0,6,5,2,0,0,6,5,2,0,0,"01/10/2018"
"NHLBI",156,80,65,0,11,8,3,4,0,1,8,3,4,0,1,"01/10/2018"
"NIDCR",1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,"01/10/2018"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/10/2018"
"All DACs",204,113,71,0,20,24,21,6,0,1,22,19,6,0,1,"01/10/2018"
"JAAMH",18,12,6,0,0,5,4,1,0,0,4,3,1,0,0,"01/11/2018"
"NCI DAC",37,27,1,1,8,10,8,1,1,2,10,8,1,1,2,"01/11/2018"
"NHGRI",8,3,4,0,1,4,2,1,0,1,4,2,1,0,1,"01/11/2018"
"NHLBI",45,45,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/11/2018"
