"DAC","PI.Request.to.SO.Approval_Min","PI.Request.to.SO.Approval_Max","PI.Request.to.SO.Approval_Average","SO.Approval.to.DAC.Claim_Min","SO.Approval.to.DAC.Claim_Max","SO.Approval.to.DAC.Claim_Average","DAC.Claim.to.DAC.Approval_Min","DAC.Claim.to.DAC.Approval_Max","DAC.Claim.to.DAC.Approval_Average","DAC.Claim.to.DAC.Reject_Min","DAC.Claim.to.DAC.Reject_Max","DAC.Claim.to.DAC.Reject_Average","DAC.Claim.to.DAC.Revision_Min","DAC.Claim.to.DAC.Revision_Max","DAC.Claim.to.DAC.Revision_Average","Total.Time.for.DAC.Processing_Min","Total.Time.for.DAC.Processing_Max","Total.Time.for.DAC.Processing_Average","Date"
"NCI DAC",2,2,2,3.8,3.9,3.9,0,3.2,2.4,NA,NA,NA,NA,NA,NA,3.8,7,6.2,"01/01/2015"
"NHLBI",2,2,2,4,4,4,10,10,10,NA,NA,NA,NA,NA,NA,14,14,14,"01/01/2015"
"All DACs",2,2,2,3.8,4,3.9,0,10,6.2,NA,NA,NA,NA,NA,NA,3.8,14,10.1,"01/01/2015"
"NCI DAC",0,45.8,3.9,2.8,6.6,4,0,16.2,1.9,0,0,0,NA,NA,NA,2.8,20.1,5.8,"01/02/2015"
"NHGRI",0,2.7,1.1,2.7,3,2.9,0,0,0,NA,NA,NA,NA,NA,NA,2.7,3,2.9,"01/02/2015"
"NHLBI",0.9,0.9,0.9,3,3,3,10,10,10,NA,NA,NA,NA,NA,NA,13.1,13.1,13.1,"01/02/2015"
"NINDS",1,1.6,1.3,9.5,9.6,9.5,0,0,0,NA,NA,NA,NA,NA,NA,9.5,9.6,9.5,"01/02/2015"
"All DACs",0,45.8,2.2,2.7,9.6,4.4,0,16.2,1.8,0,0,0,NA,NA,NA,2.7,20.1,6.2,"01/02/2015"
"NCI DAC",1,1,1,1.9,1.9,1.9,0,0,0,NA,NA,NA,NA,NA,NA,1.9,1.9,1.9,"01/03/2015"
"NHLBI",1.5,1.5,1.5,2.1,2.1,2.1,21,21,21,NA,NA,NA,21,21,21,23.1,23.1,23.1,"01/03/2015"
"All DACs",1,1.5,1.5,1.9,2.1,2.1,0,21,19.6,NA,NA,NA,21,21,21,1.9,23.1,22.1,"01/03/2015"
"NEI",2.4,2.4,2.4,19.3,19.3,19.3,0,0,0,NA,NA,NA,NA,NA,NA,19.3,19.3,19.3,"01/04/2015"
"NHLBI",2.4,2.4,2.4,1.3,1.3,1.3,21,21,21,NA,NA,NA,NA,NA,NA,22.4,22.4,22.4,"01/04/2015"
"NIDDK",2.4,2.4,2.4,1.2,1.2,1.2,2,2,2,NA,NA,NA,NA,NA,NA,3.2,3.2,3.2,"01/04/2015"
"NINDS",2.4,2.4,2.4,7.8,7.8,7.8,0,0,0,NA,NA,NA,NA,NA,NA,7.8,7.8,7.8,"01/04/2015"
"All DACs",2.4,2.4,2.4,1.2,19.3,5.9,0,21,2.7,NA,NA,NA,NA,NA,NA,3.2,22.4,8.5,"01/04/2015"
"CDAC",3.8,13.6,8.7,0.1,0.2,0.1,3,3.7,3.3,NA,NA,NA,NA,NA,NA,3.1,3.8,3.5,"01/05/2015"
"ES DAC",6,6,6,23.2,23.2,23.2,0,0,0,NA,NA,NA,NA,NA,NA,23.2,23.2,23.2,"01/05/2015"
"JAAMH",1.8,24.1,4,2.1,17.1,3.4,18.6,35,20.3,90.8,90.8,90.8,19.7,19.7,19.7,20.8,93.1,32,"01/05/2015"
"NCI DAC",0,11,4.3,0,7.3,0.9,0,21.2,1.6,0,16,6.2,21.2,29.8,23.3,0.1,30.8,5.5,"01/05/2015"
"NEI",2.8,2.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/05/2015"
"NHGRI",0,13.6,9.2,0.1,1,0.4,0,0,0,NA,NA,NA,NA,NA,NA,0.1,1,0.4,"01/05/2015"
"NHLBI",0.2,3.8,1.8,0,9.8,7.9,10,10,10,0,10,0.7,NA,NA,NA,8.3,10.1,9.2,"01/05/2015"
"NIAMS",5,13.6,7.2,0.4,10.6,8,1.9,5.6,4.7,NA,NA,NA,NA,NA,NA,2.3,16.2,12.7,"01/05/2015"
"NIDDK",13.6,13.6,13.6,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,1,1,1,1.2,1.2,1.2,"01/05/2015"
"NINDS",0,13.6,4.6,6.3,6.7,6.5,0,1.8,0.4,NA,NA,NA,NA,NA,NA,6.4,8.2,6.9,"01/05/2015"
