"DAC","PI.Request.to.SO.Approval_Min","PI.Request.to.SO.Approval_Max","PI.Request.to.SO.Approval_Average","SO.Approval.to.DAC.Claim_Min","SO.Approval.to.DAC.Claim_Max","SO.Approval.to.DAC.Claim_Average","DAC.Claim.to.DAC.Approval_Min","DAC.Claim.to.DAC.Approval_Max","DAC.Claim.to.DAC.Approval_Average","DAC.Claim.to.DAC.Reject_Min","DAC.Claim.to.DAC.Reject_Max","DAC.Claim.to.DAC.Reject_Average","DAC.Claim.to.DAC.Revision_Min","DAC.Claim.to.DAC.Revision_Max","DAC.Claim.to.DAC.Revision_Average","Total.Time.for.DAC.Processing_Min","Total.Time.for.DAC.Processing_Max","Total.Time.for.DAC.Processing_Average","Date"
"JAAMH",0,0,0,9.1,9.1,9.1,NA,NA,NA,NA,NA,NA,1.1,1.1,1.1,10.2,10.2,10.2,"01/01/2019"
"NCI DAC",31.1,31.1,31.1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,"01/01/2019"
"NHGRI",0,13,1.4,2.9,3.2,3.1,0,13.7,1.5,0,0,0,NA,NA,NA,3,16.6,4.5,"01/01/2019"
"NIAMS",0,0.1,0.1,1,1.2,1.2,1,1,1,NA,NA,NA,NA,NA,NA,2,2.2,2.2,"01/01/2019"
"NIGMS",13.7,13.7,13.7,1.1,1.1,1.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,1.2,1.2,1.2,"01/01/2019"
"NINDS",0,0,0,2.2,2.2,2.2,6.9,6.9,6.9,NA,NA,NA,NA,NA,NA,9,9,9,"01/01/2019"
"All DACs",0,31.1,2.5,1,9.1,2.4,0,13.7,1.7,0,0,0,1.1,1.1,1.1,1,16.6,4,"01/01/2019"
"CDAC",0.1,1.1,0.6,11.8,12,11.9,0,0,0,NA,NA,NA,NA,NA,NA,11.8,12.1,11.9,"01/02/2019"
"JAAMH",0,33.1,7.5,6.2,8.2,8,43.3,76.1,44.7,NA,NA,NA,NA,NA,NA,51.1,82.2,52.7,"01/02/2019"
"NCI DAC",0,30,4.8,0,7.5,5.2,0,0,0,0,243.8,4.5,NA,NA,NA,0,251.2,8.6,"01/02/2019"
"NHGRI",0,36.2,4.8,2,7.2,3.5,0,17.7,0.9,0,0,0,NA,NA,NA,2,19.7,4.3,"01/02/2019"
"NHLBI",0,13,0.3,0,308.8,4.3,0,1,0.1,0,0,0,NA,NA,NA,0,308.8,4.4,"01/02/2019"
"NICHD",27,27,27,5.8,5.8,5.8,15,15,15,NA,NA,NA,NA,NA,NA,20.8,20.8,20.8,"01/02/2019"
"NIDDK",1,1,1,40.2,40.2,40.2,0,0,0,NA,NA,NA,NA,NA,NA,40.3,40.3,40.3,"01/02/2019"
"NIGMS",5.1,5.1,5.1,30.1,30.1,30.1,NA,NA,NA,NA,NA,NA,0,0,0,30.2,30.2,30.2,"01/02/2019"
"NINDS",0.5,1,0.9,1.2,1.2,1.2,0,0,0,NA,NA,NA,NA,NA,NA,1.2,1.3,1.3,"01/02/2019"
"All DACs",0,36.2,2.8,0,308.8,5.2,0,76.1,6.7,0,243.8,4.2,0,0,0,0,308.8,11.2,"01/02/2019"
"CDAC",0.8,7.8,4.2,11.1,11.1,11.1,0,0,0,NA,NA,NA,NA,NA,NA,11.1,11.1,11.1,"01/03/2019"
"JAAMH",0,7.8,3.4,6.8,7.2,7.1,43.3,43.3,43.3,1.2,1.2,1.2,NA,NA,NA,7.9,50.6,45.2,"01/03/2019"
"NCI DAC",0,987.9,23.5,0,6.2,2.9,0,0.2,0,0,0,0,NA,NA,NA,0,6.2,2.9,"01/03/2019"
"NEI",1,7.8,4.9,43.1,43.1,43.1,0,0,0,0,0,0,NA,NA,NA,43.1,43.1,43.1,"01/03/2019"
"NHGRI",0.9,23.8,7.9,1.1,4.4,1.4,0,2.2,0.2,0,0,0,NA,NA,NA,1.1,6.6,1.6,"01/03/2019"
"NHLBI",0,8.8,5.3,0.5,4.2,3.2,1,15.4,11,0,0,0,NA,NA,NA,4.2,15.8,13.5,"01/03/2019"
"NIAMS",7.8,8.8,8.1,0.1,0.4,0.2,0.2,0.2,0.2,1.1,1.1,1.1,NA,NA,NA,0.3,1.5,0.7,"01/03/2019"
"NICHD",1,1,1,4.9,4.9,4.9,NA,NA,NA,NA,NA,NA,0,0,0,4.9,4.9,4.9,"01/03/2019"
"NIDCR",1,7.8,6.1,0.1,5.9,1.5,0.2,7.9,2.2,NA,NA,NA,NA,NA,NA,0.3,13.8,3.7,"01/03/2019"
"NIDDK",7.8,8.8,8.5,39.4,39.7,39.6,17.8,24.8,19.6,NA,NA,NA,NA,NA,NA,57.5,64.1,59.2,"01/03/2019"
"NIGMS",1,7.8,5.5,29.2,29.2,29.2,0,0,0,NA,NA,NA,NA,NA,NA,29.2,29.2,29.2,"01/03/2019"
"NINDS",7.8,7.8,7.8,0.2,0.2,0.2,0,0,0,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,"01/03/2019"
"All DACs",0,987.9,11.9,0,43.1,6,0,43.3,8.9,0,1.2,0.3,0,0,0,0,64.1,14,"01/03/2019"
"CDAC",0,3,1.5,10,10,10,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,10.1,10.1,10.1,"01/04/2019"
"JAAMH",0,3,3,5.7,6.1,5.9,43.3,43.3,43.3,NA,NA,NA,NA,NA,NA,49,49.4,49.2,"01/04/2019"
"NCI DAC",0,56.2,4.8,1.1,2.1,1.8,0,0.3,0.1,0,0,0,NA,NA,NA,1.1,2.3,1.8,"01/04/2019"
