"DAC","PI.Request.to.SO.Approval_Min","PI.Request.to.SO.Approval_Max","PI.Request.to.SO.Approval_Average","SO.Approval.to.DAC.Claim_Min","SO.Approval.to.DAC.Claim_Max","SO.Approval.to.DAC.Claim_Average","DAC.Claim.to.DAC.Approval_Min","DAC.Claim.to.DAC.Approval_Max","DAC.Claim.to.DAC.Approval_Average","DAC.Claim.to.DAC.Reject_Min","DAC.Claim.to.DAC.Reject_Max","DAC.Claim.to.DAC.Reject_Average","DAC.Claim.to.DAC.Revision_Min","DAC.Claim.to.DAC.Revision_Max","DAC.Claim.to.DAC.Revision_Average","Total.Time.for.DAC.Processing_Min","Total.Time.for.DAC.Processing_Max","Total.Time.for.DAC.Processing_Average","Date"
"JAAMH",0,8.2,2.4,1.8,2.2,2,26.9,26.9,26.9,NA,NA,NA,4.2,4.2,4.2,6,29.1,19.8,"10/16/2019"
"NCI DAC",0,36.2,7,0.3,4.2,1.3,0,2.8,0.4,0,0,0,NA,NA,NA,0.4,7,1.6,"10/16/2019"
"NEI",0.7,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/16/2019"
"NHGRI",0,33,11.6,12,16.1,13.1,0,5.3,0.9,0,0,0,NA,NA,NA,12,21.4,13.8,"10/16/2019"
"NHLBI",0.7,14.2,13.8,0.8,0.8,0.8,NA,NA,NA,0,0,0,NA,NA,NA,0.8,0.8,0.8,"10/16/2019"
"NINDS",13.7,13.7,13.7,2,2,2,0,10,5,NA,NA,NA,NA,NA,NA,2,12.1,7.1,"10/16/2019"
"All DACs",0,36.2,10.6,0.3,16.1,4.4,0,26.9,6,0,0,0,4.2,4.2,4.2,0.4,29.1,9.7,"10/16/2019"
"JAAMH",0,3,0.4,1,1.1,1.1,26.9,26.9,26.9,4.2,4.2,4.2,4.2,4.2,4.2,5.2,28,22.3,"10/17/2019"
"NCI DAC",0,7.6,3,0,3,0.7,0,6,2.3,0,0,0,NA,NA,NA,0,6.4,2.8,"10/17/2019"
"NHGRI",15.8,15.8,15.8,12.1,12.1,12.1,NA,NA,NA,0,0,0,NA,NA,NA,12.1,12.1,12.1,"10/17/2019"
"NHLBI",0.2,4,3.1,20.1,20.1,20.1,19.9,19.9,19.9,NA,NA,NA,NA,NA,NA,40,40,40,"10/17/2019"
"NIAMS",0,0,0,0.2,0.2,0.2,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,"10/17/2019"
"NICHD",0.7,0.7,0.7,5.8,5.8,5.8,42,42,42,NA,NA,NA,NA,NA,NA,47.8,47.8,47.8,"10/17/2019"
"NIDCR",0,0,0,6.2,6.2,6.2,13.8,13.8,13.8,NA,NA,NA,NA,NA,NA,20,20,20,"10/17/2019"
"All DACs",0,15.8,2.4,0,20.1,4.6,0,42,19.4,0,4.2,2.5,4.2,4.2,4.2,0,47.8,20.7,"10/17/2019"
"CDAC",0,0.1,0,13.9,14.2,14,0,0,0,NA,NA,NA,NA,NA,NA,13.9,14.2,14,"10/18/2019"
"JAAMH",1.4,1.4,1.4,0.2,0.2,0.2,26.9,26.9,26.9,NA,NA,NA,NA,NA,NA,27,27,27,"10/18/2019"
"NCI DAC",0,35.8,1.3,0,2.8,1.5,0,0.1,0,0,2.8,0.9,NA,NA,NA,0,5.2,1.6,"10/18/2019"
"NHGRI",0,2.9,1.3,9.8,11.1,10.8,0,0,0,0,9.1,2.6,NA,NA,NA,9.8,20.2,11.6,"10/18/2019"
"NHLBI",0.2,0.8,0.2,20.2,28,26.8,0,14.8,14.2,NA,NA,NA,NA,NA,NA,20.2,41.7,41,"10/18/2019"
"NIAMS",1.4,1.4,1.4,3.1,3.1,3.1,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,11,11,11,"10/18/2019"
"NICHD",57.9,57.9,57.9,5,5,5,0,0,0,NA,NA,NA,NA,NA,NA,5,5,5,"10/18/2019"
"NIDDK",1.4,1.4,1.4,14.1,14.1,14.1,23.3,23.3,23.3,NA,NA,NA,NA,NA,NA,37.4,37.4,37.4,"10/18/2019"
"NIGMS",0,2.9,1.5,6.7,6.8,6.8,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,6.9,7,6.9,"10/18/2019"
"NINDS",1.4,1.4,1.4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,"10/18/2019"
"All DACs",0,57.9,1.5,0,28,11.2,0,26.9,5.6,0,9.1,2,NA,NA,NA,0,41.7,16.5,"10/18/2019"
"NCI DAC",1.2,5.1,3.2,1.1,2.2,1.7,0,0.8,0.3,0.8,0.8,0.8,NA,NA,NA,1.8,3,2.1,"10/19/2019"
"All DACs",1.2,5.1,3.2,1.1,2.2,1.7,0,0.8,0.3,0.8,0.8,0.8,NA,NA,NA,1.8,3,2.1,"10/19/2019"
