"DAC","Study Accession","Study Release Date","Embargo End Date","Study Name"
"CDAC","phs000501.v1.p1","07/30/2012","04/12/2011","Compilation of Aggregate Genomic Data for General Research Use"
"CDAC","phs000688.v1.p1","06/19/2014"," ","dbGaP Collection: Compilation of Individual-Level Genomic Data for General Research Use"
"CDAC","phs000710.v1.p1",""," ","1000 Genomes Used for Cloud Testing"
"CDAC","phs001477.v1.p1",""," ","Sequence Data Delivery Pilot (SDDP)"
"CDAC","phs001516.v1.p1","03/16/2018","03/16/2018","Phenotype Risk Score Study of Rare Variants"
"ES DAC","phs000449.v2.p1","08/08/2012","08/08/2012","Genetic Variation and Signatures of Natural Selection in Diverse Africans"
"ES DAC","phs000678.v1.p1","02/25/2015","02/25/2016","A Family-Based Study of Genes and Environment in Young-Onset Breast Cancer"
"ES DAC","phs000853.v1.p1","02/06/2015","02/06/2015","Normative Aging Study (NAS)"
"ES DAC","phs000968.v2.p1","09/11/2020","05/19/2016","The Cardiopulmonary Effects of Particulate Exposure"
"ES DAC","phs000970.v1.p1","12/11/2015","12/11/2015","Mercury and Gut Microbiota"
"ES DAC","phs000996.v2.p1","11/12/2019","02/15/2017","Gene-Environment Interaction Effects in Neurodevelopment"
"ES DAC","phs001059.v1.p1","02/10/2016","02/10/2016","Maternal folate and newborn DNA methylation meta-analysis"
"ES DAC","phs001182.v1.p1","10/27/2016","10/27/2016","Somatic Mutation Load in Clones of Single Human Cells"
"ES DAC","phs001418.v1.p1","12/12/2018","12/12/2018","Molecular Role of DNA Variants Associated with Crohn's Disease"
"ES DAC","phs001586.v1.p1","07/23/2019","07/23/2019","Rhode Island Child Health Study (RICHS)"
"JAAMH","phs000016.v2.p2","12/02/2009","03/26/2008","International Multi-Center ADHD Genetics Project"
"JAAMH","phs000017.v3.p1","11/24/2008","12/01/2008","Whole Genome Association Study of Bipolar Disorder version 3"
"JAAMH","phs000020.v2.p1","10/27/2008","07/09/2008","Major Depression: Stage 1 Genomewide Association in Population-Based Samples"
"JAAMH","phs000021.v3.p2","10/28/2010","12/03/2008","Genome-Wide Association Study of Schizophrenia"
"JAAMH","phs000125.v1.p1","10/06/2008","10/06/2009","CIDR: Collaborative Study on the Genetics of Alcoholism (COGA)"
"JAAMH","phs000138.v2.p1","07/01/2010","08/04/2010","GWAS for Genetic Determinants of Bone Fragility"
"JAAMH","phs000160.v1.p1","04/14/2009","04/14/2009","Genetics Consortium for Late Onset of Alzheimer's Disease (LOAD CIDR Project)"
"JAAMH","phs000167.v1.p1","05/13/2009","02/13/2010","Molecular Genetics of Schizophrenia - nonGAIN Sample (MGS_nonGAIN)"
"JAAMH","phs000168.v2.p2","04/28/2015","09/21/2010","NIA - Late Onset Alzheimer's Disease and National Cell Repository for Alzheimer's Disease Family Study: Genome-Wide Association Study for Susceptibility Loci"
"JAAMH","phs000169.v1.p1","01/15/2010","01/15/2011","Whole Genome Association Study of Visceral Adiposity in the HABC Study"
"JAAMH","phs000181.v1.p1","11/10/2009","05/10/2010","Alcohol Research using Australian twins and their families (OZ-ALC)"
"JAAMH","phs000215.v2.p1","09/27/2013","02/05/2010","Genome-Wide Association Analysis of Biomarkers in the InCHIANTI and BLSA"
"JAAMH","phs000219.v1.p1","01/21/2010","07/21/2010","GenADA/LONG/Imaging (Genetic Alzheimer's Disease Associations)"
"JAAMH","phs000248.v1.p1","02/13/2014","02/13/2015","Genetic Determinants of Viral Clearance in HCV-Infected Populations"
"JAAMH","phs000267.v5.p2","01/09/2017","04/24/2014","Autism Genome Project (AGP) Consortium - GWAS - Stage I and II"
"JAAMH","phs000277.v2.p1","07/09/2020","08/14/2014","International Consortium on the Genetics of Heroin Dependence"
"JAAMH","phs000298.v4.p3","07/12/2018","07/12/2018","Autism Sequencing Consortium (ASC)"
"JAAMH","phs000313.v4.p2","12/05/2017","10/20/2011","SardiNIA Medical Sequencing Discovery Project"
"JAAMH","phs000338.v1.p1","04/26/2011"," ","National Institute on Aging (NIA) SardiNIA Study"
"JAAMH","phs000358.v1.p1","09/15/2011","12/15/2011","PGC: the PUWMa GWAS of ADHD"
"JAAMH","phs000372.v1.p1","02/19/2014","02/19/2015","ADGC Genome Wide Association Study"
"JAAMH","phs000378.v1.p1","05/06/2014","05/06/2015","Indianapolis-Ibadan, Nigeria Comparative Epidemiological Study of Dementia"
"JAAMH","phs000393.v1.p1","01/18/2012"," ","Genes Contributing to Nicotine Dependence in Humans"
"JAAMH","phs000397.v2.p2","04/22/2020","04/22/2020","NIA Long Life Family Study (LLFS)"
"JAAMH","phs000404.v1.p1","12/14/2011","12/14/2012","The Genetic Architecture of Smoking and Smoking Cessation"
"JAAMH","phs000407.v1.p1","05/02/2012","05/02/2012","IMAGE II Genome-Wide Association"
"JAAMH","phs000417.v2.p1","02/02/2012","02/02/2012","BrainCloud: Data from Human Postmortem Brain Across the Lifespan"
"JAAMH","phs000425.v1.p1","03/09/2012","03/09/2013","Alcohol Dependence GWAS in European- and African Americans"
"JAAMH","phs000428.v2.p2","02/02/2017","02/02/2017","Health and Retirement Study (HRS)"
"JAAMH","phs000430.v1.p1","02/12/2013","02/12/2014","Hepatitis C Antiviral Long-term Treatment Against Cirrhosis (HALT-C)"
"JAAMH","phs000436.v1.p1","03/05/2014","03/05/2014","University of Miami Study on Genetics of Autism and Related Disorders (AutismDisorders)"
"JAAMH","phs000448.v1.p1","09/04/2012","09/04/2013","Genetics of Schizophrenia in an Ashkenazi Jewish Case-Control Cohort"
